2009-08-07 01:00,23.25,124.18
2009-08-07 02:00,23.20,124.00
2009-08-07 03:00,23.25,123.87
2009-08-07 04:00,23.30,123.73
2009-08-07 05:00,23.35,123.60
2009-08-07 06:00,23.40,123.47
2009-08-07 07:00,23.45,123.33
2009-08-07 08:00,23.50,123.20
2009-08-07 09:00,23.48,123.07
2009-08-07 10:00,23.47,122.93
2009-08-07 11:00,23.45,122.80
2009-08-07 12:00,23.43,122.67
2009-08-07 13:00,23.42,122.53
2009-08-07 14:00,23.40,122.40
2009-08-07 15:00,23.43,122.35
2009-08-07 16:00,23.47,122.30
2009-08-07 17:00,23.50,122.25
